Original URL,Tracking ID,Tracking URL,Error Notes
https://www.aliexpress.com/item/1005003480254495.html,AliFindBR,,
https://www.aliexpress.com/item/4000595323207.html,AliFindBR,,
https://www.aliexpress.com/item/1005008248087499.html,AliFindBR,,
https://www.aliexpress.com/item/1005008406009860.html,AliFindBR,,
https://www.aliexpress.com/item/1005010439224997.html,AliFindBR,,
https://www.aliexpress.com/item/1005011717783594.html,AliFindBR,,
https://www.aliexpress.com/item/1005007306827116.html,AliFindBR,,
https://www.aliexpress.com/item/1005007306700251.html,AliFindBR,,
https://www.aliexpress.com/item/1005005191293441.html,AliFindBR,,
https://www.aliexpress.com/item/1005011742937640.html,AliFindBR,,
https://www.aliexpress.com/item/1005007010153998.html,AliFindBR,,
https://www.aliexpress.com/item/1005005414061957.html,AliFindBR,,
